Specification_Type,Value,Unit,Context
percentage,6,,"s). The desalination market is $20.6 B/year with ~6 % CAGR, NPV $3.3 B. Real‑time water‑quality sensors"
percentage,6.3,,"e water‑quality sensors: pH sensors ($1.5 B/year, 6.3 % CAGR), chlorine sensors ($1.1 B/year, 8 % CAGR),"
percentage,8,,"year, 6.3 % CAGR), chlorine sensors ($1.1 B/year, 8 % CAGR), turbidity sensors ($1.4 B/year, 7.2 % CAGR"
percentage,7.2,,"/year, 8 % CAGR), turbidity sensors ($1.4 B/year, 7.2 % CAGR) and dissolved‑oxygen sensors ($1.4 B/year,"
percentage,7,,"CAGR) and dissolved‑oxygen sensors ($1.4 B/year, 7 % CAGR). Predictive maintenance sensors: Vibration"
percentage,6,,"ntenance sensors: Vibration sensors ($560 M/year, 6 % CAGR) and acoustic sensors ($1.5 B/year, 6.4 % CA"
percentage,6.4,,"ear, 6 % CAGR) and acoustic sensors ($1.5 B/year, 6.4 % CAGR); pressure sensors ($2.5 B/year, 6.3 % CAGR)"
percentage,6.3,,"year, 6.4 % CAGR); pressure sensors ($2.5 B/year, 6.3 % CAGR). 4.6 Health‑care & Biosecurity Pico‑sensor"
percentage,6,,or ELISA‑qPCR biosensors: $2.1 B/year market with 6 % CAGR; $773 M NPV. Real‑time vital‑sign sensors (h
percentage,15,,"re, oxygen saturation, temperature): $9.2 B/year, 15 % CAGR; $4.1 B NPV. The paper suggests additional o"
percentage,42,,year) and automotive LIDAR/radar ($1.2 B/year but 42 % CAGR)—combine high TAM with very high growth. Hig
percentage,42,,"est‑growing segments include LIDAR/radar sensors (42 % CAGR), IR camera sensors (15 %), humidity sensors"
percentage,15,,"DAR/radar sensors (42 % CAGR), IR camera sensors (15 %), humidity sensors (15 %), solar‑cell optimisatio"
percentage,15,,"AGR), IR camera sensors (15 %), humidity sensors (15 %), solar‑cell optimisation (17 %), and real‑time v"
percentage,17,,"humidity sensors (15 %), solar‑cell optimisation (17 %), and real‑time vital‑sign sensors (15 %). These"
percentage,15,,"isation (17 %), and real‑time vital‑sign sensors (15 %). These are likely to attract early adopters and"
percentage,15,,"al Use Case Layer Defense / Intel ISR ($7.3B TAM, 15% CAGR). Navigation (IMU, GNSS, AHRS). EW ($16.6B T"
percentage,42,,"otive sensors ($31B TAM). LIDAR/Radar ($1.2B TAM, 42% CAGR). Aviation (ISR, GNSS). Maritime monitoring"
percentage,42,,tor TAMs range from $500M to $95B. CAGR ranges: 5–42%. Licensing NPV valuations for each use case provi
percentage,15,,"llance, Reconnaissance): Market ~$7.3 B/year with 15 % CAGR; NPV for a 1M‑patent license is $3.3 B. Navi"
percentage,7,,HRS applications yield a $18.7 B/year market with 7 % CAGR and $3.4 B NPV. Weapon systems/targeting: Ta
percentage,6,,"nd missile seekers constitute a $9 B/year market, 6 % CAGR. Electronic warfare: $16.6 B/year, 7 % CAGR."
percentage,7,,"rket, 6 % CAGR. Electronic warfare: $16.6 B/year, 7 % CAGR. Platform control & monitoring (flight contr"
percentage,5,,"on and structural‑health monitoring): $11 B/year, 5 % CAGR. Sensor‑type breakdown: EO/IR sensors ($13.8"
percentage,5,,"R. Sensor‑type breakdown: EO/IR sensors ($13.8 B, 5 % CAGR); radar sensors including LIDAR ($12 B, 5 %"
percentage,5,,"5 % CAGR); radar sensors including LIDAR ($12 B, 5 % CAGR); inertial sensors ($12 B, 5 % CAGR); pressu"
percentage,5,,"LIDAR ($12 B, 5 % CAGR); inertial sensors ($12 B, 5 % CAGR); pressure sensors ($2.9 B, 8.2 % CAGR); aco"
percentage,8.2,,"sors ($12 B, 5 % CAGR); pressure sensors ($2.9 B, 8.2 % CAGR); acoustic/sonar sensors ($1.8 B, 5 % CAGR);"
percentage,5,,"9 B, 8.2 % CAGR); acoustic/sonar sensors ($1.8 B, 5 % CAGR); chemical/biological sensors ($2.1 B, 5 % C"
percentage,5,,", 5 % CAGR); chemical/biological sensors ($2.1 B, 5 % CAGR). These markets indicate multiple licensing"
percentage,5,,global automotive sensors: $31 B/year market with 5 % CAGR; NPV $4.3 B. North America automotive sensor
percentage,8.2,,erica automotive sensors: $7.1 B/year market with 8.2 % CAGR; NPV $1.4 B. Sensor‑specific markets: LIDAR/
percentage,42,,LIDAR/Radar sensors – $1.2 B/year but a striking 42 % CAGR and $13.8 B NPV; humidity sensors – $7.3 B/y
percentage,15,,"and $13.8 B NPV; humidity sensors – $7.3 B/year, 15 % CAGR, $3.25 B NPV; IR camera sensors – $8.8 B/yea"
percentage,15,,"GR, $3.25 B NPV; IR camera sensors – $8.8 B/year, 15 % CAGR, $3.9 B NPV; GPS/GNSS/IMU navigation sensors"
percentage,8.3,,"PV; GPS/GNSS/IMU navigation sensors – $16 B/year, 8.3 % CAGR, $3.3 B NPV. The high growth rates of LIDAR,"
percentage,11.8,,"emperature, voltage, power): $21.4 B/year market; 11.8 % CAGR; $6.6 B NPV. Fault‑detection sensors: $22 B/"
percentage,8,,"$6.6 B NPV. Fault‑detection sensors: $22 B/year, 8 % CAGR, $4.4 B NPV. Grid asset‑monitoring sensors:"
percentage,19,,"NPV. Grid asset‑monitoring sensors: $3.6 B/year, 19 % CAGR, $2.6 B NPV. Solar‑cell optimisation: The la"
percentage,17,,sation: The largest single market—$95 B/year with 17 % CAGR and $54 B NPV—reflecting global demand for i
percentage,37,,Proposed SMEC‑optimized battery arrays promise 21–37 % improvement in energy‑storage density and up to 4
percentage,46,,% improvement in energy‑storage density and up to 46 % improvement in retrieval time; the market is $25
percentage,9,,in retrieval time; the market is $25 B/year with 9 % CAGR and $5.6 B NPV. Small modular nuclear reacto
percentage,8,,"dular nuclear reactors (SMRs): $10 B/year market, 8 % CAGR, $2 B NPV. Utility‑scale solar and wind turb"
percentage,14.3,,"e solar and wind turbine monitoring: $8.7 B/year, 14.3 % CAGR, $3.6 B NPV. Facilities energy management: L"
percentage,11.6,,"nagement: Lighting‑controls sensors ($3.7 B/year, 11.6 % CAGR) and HVAC‑control sensors ($4.2 B/year, 6 %"
percentage,6,,".6 % CAGR) and HVAC‑control sensors ($4.2 B/year, 6 % CAGR). 4.4 Critical Manufacturing & Mining Strate"
percentage,8.7,,vey lines. Addressable market is $1.5 B/year with 8.7 % CAGR and $742 M NPV. Factory automation/SCADA opt
percentage,6,,tion/SCADA optimisation: $25.5 B/year market with 6 % CAGR; $4.1 B NPV. Quality‑control sensors: $10.5
percentage,6,,"4.1 B NPV. Quality‑control sensors: $10.5 B/year, 6 % CAGR, $1.7 B NPV. 4.5 Water & Wastewater Hydrolog"
percentage,6,,"r Hydrology/water deposit detection: $1.2 B/year, 6 % CAGR. Desalination materials: The paper describes"
percentage,15,,"describes a layered oxygenated graphene membrane (15 % graphene, 80 % oxidised domains) that achieves 70"
percentage,80,,"ered oxygenated graphene membrane (15 % graphene, 80 % oxidised domains) that achieves 70–100 L/cm²/day/"
percentage,99.9,,"low rate than polyamide membranes—while rejecting 99.9 % of salt via six mechanisms (size exclusion, dehyd"
percentage,6,,"s). The desalination market is $20.6 B/year with ~6 % CAGR, NPV $3.3 B. Real‑time water‑quality sensors"
percentage,6.3,,"e water‑quality sensors: pH sensors ($1.5 B/year, 6.3 % CAGR), chlorine sensors ($1.1 B/year, 8 % CAGR),"
percentage,8,,"year, 6.3 % CAGR), chlorine sensors ($1.1 B/year, 8 % CAGR), turbidity sensors ($1.4 B/year, 7.2 % CAGR"
percentage,7.2,,"/year, 8 % CAGR), turbidity sensors ($1.4 B/year, 7.2 % CAGR) and dissolved‑oxygen sensors ($1.4 B/year,"
percentage,7,,"CAGR) and dissolved‑oxygen sensors ($1.4 B/year, 7 % CAGR). Predictive maintenance sensors: Vibration"
percentage,6,,"ntenance sensors: Vibration sensors ($560 M/year, 6 % CAGR) and acoustic sensors ($1.5 B/year, 6.4 % CA"
percentage,6.4,,"ear, 6 % CAGR) and acoustic sensors ($1.5 B/year, 6.4 % CAGR); pressure sensors ($2.5 B/year, 6.3 % CAGR)"
percentage,6.3,,"year, 6.4 % CAGR); pressure sensors ($2.5 B/year, 6.3 % CAGR). 4.6 Health‑care & Biosecurity Pico‑sensor"
percentage,6,,or ELISA‑qPCR biosensors: $2.1 B/year market with 6 % CAGR; $773 M NPV. Real‑time vital‑sign sensors (h
percentage,15,,"re, oxygen saturation, temperature): $9.2 B/year, 15 % CAGR; $4.1 B NPV. The paper suggests additional o"
percentage,42,,year) and automotive LIDAR/radar ($1.2 B/year but 42 % CAGR)—combine high TAM with very high growth. Hig
percentage,42,,"est‑growing segments include LIDAR/radar sensors (42 % CAGR), IR camera sensors (15 %), humidity sensors"
percentage,15,,"DAR/radar sensors (42 % CAGR), IR camera sensors (15 %), humidity sensors (15 %), solar‑cell optimisatio"
percentage,15,,"AGR), IR camera sensors (15 %), humidity sensors (15 %), solar‑cell optimisation (17 %), and real‑time v"
percentage,17,,"humidity sensors (15 %), solar‑cell optimisation (17 %), and real‑time vital‑sign sensors (15 %). These"
percentage,15,,"isation (17 %), and real‑time vital‑sign sensors (15 %). These are likely to attract early adopters and"
percentage,15,,"atrol SMEC Addressable Market: $ 7.3B/Year, CAGR: 15% NPV 1MP License Value: $ 3.3B Page 3 Navigation &"
percentage,7,,"AHRS) SMEC Addressable Market: $18.7B/Year, CAGR: 7% NPV 1 MP License Value: $3.4B Weapon Systems & Ta"
percentage,6,,"Seekers SMEC Addressable Market: $ 9B/year, CAGR: 6% NPV 1MP License Value: $1.5B Electronic Warfare ("
percentage,7,,"(EW) SMEC Addressable Market: $16.6B/Year, CAGR: 7% NPV 1 MP License Value: $ 3B Platform Control & M"
percentage,5,,"g (SHM) SMEC Addressable Market: $11B/Year, CAGR: 5% NPV 1 MP License Value: $ 1.6B BY SENSOR TYPEe El"
percentage,5,,"al Imaging SMEC Addressable Market: $13.8B, CAGR: 5% NPV 1 MP License Value: $2B Page 4 Radar Sensors"
percentage,5,,"r Lidar SMEC Addressable Market: $12B/Year, CAGR: 5% NPV 1MP License Value: $1.7B Inertial Sensors Gyr"
percentage,5,,"nations SMEC Addressable Market: $12B/Year, CAGR: 5% NPV 1MP License Value: $1.7B Pressure Sensors Abs"
percentage,8.2,,"rential SMEC Addressable Market: $2.9B/Year, CAGR:8.2% NPV 1MP License Value: $600M Acoustic & Sonar Sen"
percentage,5,,"ensors SMEC Addressable Market: $1.8B/Year, CAGR: 5% NPV 1 MP License Value: $260M Chemical & Biologic"
percentage,5,,"sors SMEC Addressable Market: $ 2.1B/Year, CAGR:  5% NPV 1 MP License Value: $300M Page 5 Fiber Optic"
percentage,5,,"ensors SMEC Addressable Market: $1.2B/Year, CAGR: 5% NPV 1 MP License Value: $172M MEMS (Micro-Electro"
percentage,12,,"phones SMEC Addressable Market: $16.3B/Year, CAGR:12% NPV 1 MP License Value: $ 5.1B BY PLATFORM Space/"
percentage,5,,"ockets) SMEC Addressable Market: $12B/Year, CAGR: 5% NPV 1 MP License Value: $ 1.7B Land Platforms Mil"
percentage,24,,"stems SMEC Addressable Market: $13.1B/Year, CAGR: 24% NPV 1 MP License Value: $ 17.3B Naval Platforms S"
percentage,6.1,,"ehicles SMEC Addressable Market: 45.2B/Year, CAGR:6.1% NPV 1MP MP License Value: 7.3B Page 6 BY TECHNOLO"
percentage,6,,"ting) SMEC Addressable Market: $20.8B/Year, CAGR: 6% NPV 1 MP License Value: $ 3.3B Emerging/Future Qu"
percentage,7,,"nsors SMEC Addressable Market: $ 575M/Year, CAGR: 7% NPV License Value: $ 102M Civilian Aviation Dual"
percentage,6.9,,"llites SMEC Addressable Market: $3.7B/Year, CAGR: 6.9% NPV License Value: $ 650M SMEC Use Cases in Missi"
percentage,13,,"nsors: SMEC Addressable Market: $ 1.2B/Year, CAGR 13% NPV 1MP License Value: Thermal CTM Sensors: SMEC"
percentage,8,,"sors: SMEC Addressable Market: $ 1.4B/Year, CAGR, 8% NPV 1MP License Value: Acoustic DAS Sensors: SMEC"
percentage,8,,"sors: SMEC Addressable Market: $ 1.5B/Year, CAGR: 8% NPV 1MP License Value: Page 8 Differential Pressu"
percentage,8,,"nsors: SMEC Addressable Market: $1.9B/Year, CAGR: 8% NPV 1MP License Value: Liquid Leak Detection Sens"
percentage,13,,"sors: SMEC Addressable Market: $ 600M/Year, CAGR: 13% NPV 1MP License Value: Rack Power Usage Efficienc"
percentage,8,,"sors: SMEC Addressable Market: $ 4.8B/Year, CAGR: 8% NPV 1MP License Value: IR Motion Sensors: SMEC Ad"
percentage,8,,"ensors: SMEC Addressable Market: $ 2B/Year, CAGR: 8% NPV 1MP License Value: 5G/6G CDMA TELECOMMUNICATI"
percentage,11,,"TIONS SMEC Addressable Market: $ 6.2B/Year, CAGR: 11% NPV 1 MP License Value: $ 1.7B DEPARTMENT OF TRAN"
percentage,5,,"NSORS: SMEC Addressable Market: $ 31B/Year, CAGR: 5% NPV 1 MP License Value: AGGREGATE NORTH AMERICA A"
percentage,8.2,,"NSORS: SMEC Addressable Market: $ 7.1B/Year, CAGR:8.2% NPV 1MP License Value: BY CARMAKER (US/EU) FORD:"
percentage,8.2,,"FORD: SMEC Addressable Market: $525M/Year, CAGR: 8.2% NPV 1MP License Value: GENERAL MOTORS: SMEC Addre"
percentage,8.2,,"TORS: SMEC Addressable Market: $ 312M/Year, CAGR: 8.2% NPV 1MP License Value: STELLANTIS: SMEC Addressab"
percentage,8,,"ANTIS: SMEC Addressable Market: $500M/Year, CAGR: 8% NPV 1MP License Value: TESLA: SMEC Addressable Ma"
percentage,8.3,,"ESLA: SMEC Addressable Market: $ 500M/Year, CAGR: 8.3% NPV 1MP License Value: HYUNDAI: SMEC Addressable"
percentage,8.2,,"NDAI: SMEC Addressable Market: $ 200M/Year, CAGR: 8.2% NPV 1MP License Value: HONDA: SMEC Addressable Ma"
percentage,8.2,,"ONDA: SMEC Addressable Market: $ 400M/Year, CAGR: 8.2% NPV 1 MP License Value: VOLKSWAGEN GROUP: SMEC Ad"
percentage,8.2,,"ROUP: SMEC Addressable Market: $ 280M/Year, CAGR: 8.2% NPV 1MP License Value: BMW GROUP: SMEC Addressabl"
percentage,8,,"ROUP: SMEC Addressable Market: $ 380M/Year, CAGR: 8% NPV 1MP License Value: MERCEDES-BENZ GROUP: SMEC"
percentage,8.3,,"UP: SMEC Addressable Market: $ $ 390M/Year, CAGR: 8.3% NPV 1Mp License Value: TOYOTA GROUP: SMEC Address"
percentage,8.3,,"ROUP: SMEC Addressable Market: $ 460M/Year, CAGR: 8.3% NPV 1MP License Value: RENAULT/NISSAN:/MITSUBISHI"
percentage,8.2,,"ISHI: SMEC Addressable Market: $ 240M/Year, CAGR; 8.2% NPV 1Mp License Value: BY SENSOR TYPES: Optical F"
percentage,8.6,,"nsors: SMEC Addressable Market: $4.2B/Year, CAGR: 8.6%, NPV 1MP License Value: External Temperature Mana"
percentage,6,,"sors: SMEC Addressable Market: $ 2.3B/Year, CAGR: 6% NPV 1MP License Value: Humidity Sensors: SMEC Add"
percentage,15,,"sors: SMEC Addressable Market: $ 7.3B/Year, CAGR: 15% NPV 1MP License Value: IR Camera Sensors: SMEC Ad"
percentage,15,,"sors: SMEC Addressable Market: $ 8.8B/Year, CAGR: 15% NPV 1MP License Value: LIDAR/Radar Sensors: SMEC"
percentage,42,,"nsors: SMEC Addressable Market: $1.2B/Year, CAGR: 42% NPV 1MP License Value: Ultrasonic Sensors: SMEC A"
percentage,9.2,,"sors: SMEC Addressable Market: $ 530M/Year, CAGR: 9.2% NPV 1MP License Value: GPS/GNSS Navigation/IMU Se"
percentage,8.3,,"nsors: SMEC Addressable Market: $ 16B/Year, CAGR: 8.3% NPV 1MP License Value: Page 10 MARITIME TRANSPORT"
percentage,8.2,,"HIPS: SMEC Addressable Market: $35.8B/Year, CAGR: 8.2% NPV 1 MP License Value: $ 7.3B RAIL TRANSPORT SME"
percentage,6,,"NSPORT SMEC Addressable Market: $4.3B/Year, CAGR: 6% NPV 1 MP License Value: $ 690M DEPARTMENT OF ENER"
percentage,11.8,,"er): SMEC Addressable Market: $ 21.4B/Year, CAGR: 11.8% NPV 1MP License Value: Fault Detection Sensors: S"
percentage,8,,"nsors: SMEC Addressable Market: $ 22B/Year, CAGR: 8% NPV 1MP License Value: Grid Asset Monitoring Sens"
percentage,19,,"sors: SMEC Addressable Market: $ 3.6B/Year, CAGR: 19% NPV 1MP License Value: Grid Load Monitoring Senso"
percentage,5.4,,"sors: SMEC Addressable Market: $ 5.8B/Year, CAGR: 5.4% NPV 1MP License Value: Page 11 Distributed Energy"
percentage,13,,"rs: SMEC Addressable Market: $ $ 800M/Year, CAGR: 13% NPV 1MP License Value: Solar Cell Optimization SM"
percentage,17,,"zation SMEC Addressable Market: $ 95B/Year, CAGR: 17% NPV 1MP License Value: $ 54B Advanced Battery Sto"
percentage,21,,target energy storage density improvement between 21% and 37% and energy retrieval time improvement of
percentage,37,,nergy storage density improvement between 21% and 37% and energy retrieval time improvement of up to 46
percentage,46,,7% and energy retrieval time improvement of up to 46%. It is anticipated that the SMEC design will oper
percentage,9,,"lipsoid SMEC Addressable Market: $25B/Year, CAGR: 9% NPV 1 MP License Value: $5.6B Small Modular Nucle"
percentage,8,,"eactors SMEC Addressable Market: $10B/Year, CAGR: 8% NPV 1MP License Value: $ 2B Carbon Sequestration:"
percentage,8,,"SMEC Addressable Market Value: $3.5B/Year, CAGR: 8% NPV 1 MP License Value: $ 670M Utility Scale Sola"
percentage,14.3,,"oring SMEC Addressable Market: $ 8.7B/Year, CAGR: 14.3% NPV 1 MP License Value: $ 3.6B Page 12 Oil & Gas"
percentage,6,,"pection SMEC Addressable Market: $11B/Year, CAGR: 6% NPV 1 MP License Value: $ 1.8B CISA/CRITICAL MANU"
percentage,8.7,,"ncing. SMEC Addressable Market: $1.5B/Year, CAGR: 8.7% NPV 1 MP License Value: $ 742M Factory Automation"
percentage,6,,"tion: SMEC Addressable Market: $25.5B/Year, CAGR: 6% NPV 1 MP License Value: $4.1B Quality Control SME"
percentage,6,,"ntrol SMEC Addressable Market: $10.5B/Year, CAGR: 6% NPV 1MP License Value: $ 1.7B CISA/WATER AND WAST"
percentage,6,,"nsors: SMEC Addressable Market: $1.2B/Year, CAGR: 6% NPV MP License Value: $442M Page 13 Desalination"
percentage,15,,"d layered oxygenated graphene material (typically 15% graphene, 80% oxidized domains), producible in mo"
percentage,80,,"enated graphene material (typically 15% graphene, 80% oxidized domains), producible in monolayer and st"
percentage,99.9,,"le in polyamide membrane materials) and providing 99.9% salt rejection, in all 6 major salt rejection mec"
percentage,6,,"A-QPCR SMEC Addressable Market: $2.1B/Year, CAGR: 6% NPV 1 MP License Value: $773M Medical Devices/Pat"
percentage,15,,"sors: SMEC Addressable Market: $ 9.2B/Year, CAGR: 15% NPV 1 MP License Value: Diabetes Continuous Gluco"
percentage,19,,"ors: SMEC Addressable Market: $ 13.7B/Year, CAGR: 19% NPV 1 MP License Value: ECG/EEG Electrochemical C"
percentage,13,,"sors: SMEC Addressable Market: $ 1.5B/Year, CAGR: 13% NPV 1MP License Value: Page 14 Wearable Sensors ("
percentage,13.5,,"leep) SMEC Addressable Market: $ 3.9B/Year, CAGR: 13.5% NPV 1MP License Value: Rehabilitation Care Sensor"
percentage,9.5,,"sors: SMEC Addressable Market: $ 1.2B/Year, CAGR: 9.5% Robotic Surgical Tools/Diagnostic Equipment SMEC"
percentage,6,,"quipment SMEC Addressable Market: $8B/Year, CAGR: 6% NPV 1 MP License Value: $ 1.3B Blood Management S"
percentage,11.8,,"toring SMEC Addressable Market: $2.9B/Year, CAGR: 11.8% NPV 1 MP License Value: $890M E.  CII NIKET NON-R"
percentage,2,,precursor-specific; target stoichiometry error \<±2%. Anneal: Nanoimprint: Pico/Nano 3D-Printing using
percentage,50,,s: IT/Servers CPU/GPU and RAM Power Reduction: 40-50% HVAC/Chillers/Fans/Pumps Power Reduction: 30% UPS
percentage,30,,40-50% HVAC/Chillers/Fans/Pumps Power Reduction: 30% UPS/Transformer/PDU Power Reduction: 10% Routers/
percentage,10,,duction: 30% UPS/Transformer/PDU Power Reduction: 10% Routers/Switches/Firewalls Power Reduction: 5% St
percentage,5,,: 10% Routers/Switches/Firewalls Power Reduction: 5% Storage HD/SSD Power Reduction: 5% Q-SMEC Physics
percentage,5,,wer Reduction: 5% Storage HD/SSD Power Reduction: 5% Q-SMEC Physics Parameter Optimization Values Targ
percentage,15,,"ance (ISR): Annual market of $7.3 billion, with a 15% Compound Annual Growth Rate (CAGR), licensing Net"
percentage,7,,"fare (EW): Annual market of $16.6 billion, with a 7% CAGR, licensing NPV of $3 billion. Navigation: An"
percentage,7,,"avigation: Annual market of $18.7 billion, with a 7% CAGR, licensing NPV of $3.4 billion. Platform Mon"
percentage,5,,"Monitoring: Annual market of $11 billion, with a 5% CAGR, licensing NPC of $2.7 billion AI/Data Cente"
percentage,13,,"l Management: Annual market of $ 19.6 billion, 11-13% CAGR, licensing NPV of 3.3B 4.2 Energy and Utilit"
percentage,17,,"ptimization: Annual market of $95 billion, with a 17% CAGR Battery Storage: Annual market of $25 billio"
percentage,9,,"ery Storage: Annual market of $25 billion, with a 9% CAGR, licensing NPV of $5.6 billion. Microgrids:"
percentage,6,,"Microgrids: Annual market of $11 billion, with a 6% CAGR, licensing NPV of $1.8 billion. Small Modula"
percentage,8,,"ors (SMRs): Annual market of $10 billion, with an 8% CAGR. 4.3 Water and Environment Desalination Memb"
percentage,6,,"Membranes: Annual market of $20.6 billion, with a 6% CAGR, licensing NPV of $3.3 billion. Real-Time Wa"
percentage,42,,"IDAR/Radar: Annual market of $1.2 billion, with a 42% CAGR, licensing NPV of $13.8 billion. Total Autom"
percentage,5,,"ive Sensors: Annual market of $31 billion, with a 5% CAGR CII NIKET North America LLC PROPRIETARY ANNE"
cagr,42,,"Market: $30B+ annually, strong growth in Lidar (42% CAGR). Energy & Utilities
 Smart grid, microgrids, fau"
cagr,15,,"al Use Case Layer Defense / Intel ISR ($7.3B TAM, 15% CAGR). Navigation (IMU, GNSS, AHRS). EW ($16.6B TAM)."
cagr,42,,"otive sensors ($31B TAM). LIDAR/Radar ($1.2B TAM, 42% CAGR). Aviation (ISR, GNSS). Maritime monitoring ($35B"
cagr,15,,"llance, Reconnaissance): Market ~$7.3 B/year with 15 % CAGR; NPV for a 1M‑patent license is $3.3 B. Navigatio"
cagr,7,,HRS applications yield a $18.7 B/year market with 7 % CAGR and $3.4 B NPV. Weapon systems/targeting: Targeti
cagr,6,,"nd missile seekers constitute a $9 B/year market, 6 % CAGR. Electronic warfare: $16.6 B/year, 7 % CAGR. Plat"
cagr,7,,"rket, 6 % CAGR. Electronic warfare: $16.6 B/year, 7 % CAGR. Platform control & monitoring (flight controls,"
cagr,5,,"on and structural‑health monitoring): $11 B/year, 5 % CAGR. Sensor‑type breakdown: EO/IR sensors ($13.8 B, 5"
cagr,5,,"R. Sensor‑type breakdown: EO/IR sensors ($13.8 B, 5 % CAGR); radar sensors including LIDAR ($12 B, 5 % CAGR)"
cagr,5,,"5 % CAGR); radar sensors including LIDAR ($12 B, 5 % CAGR); inertial sensors ($12 B, 5 % CAGR); pressure se"
cagr,5,,"LIDAR ($12 B, 5 % CAGR); inertial sensors ($12 B, 5 % CAGR); pressure sensors ($2.9 B, 8.2 % CAGR); acoustic"
cagr,8.2,,"sors ($12 B, 5 % CAGR); pressure sensors ($2.9 B, 8.2 % CAGR); acoustic/sonar sensors ($1.8 B, 5 % CAGR); chem"
cagr,5,,"9 B, 8.2 % CAGR); acoustic/sonar sensors ($1.8 B, 5 % CAGR); chemical/biological sensors ($2.1 B, 5 % CAGR)."
cagr,5,,", 5 % CAGR); chemical/biological sensors ($2.1 B, 5 % CAGR). These markets indicate multiple licensing oppor"
cagr,5,,global automotive sensors: $31 B/year market with 5 % CAGR; NPV $4.3 B. North America automotive sensors: $7
cagr,8.2,,erica automotive sensors: $7.1 B/year market with 8.2 % CAGR; NPV $1.4 B. Sensor‑specific markets: LIDAR/Radar
cagr,42,,"LIDAR/Radar sensors – $1.2 B/year but a striking 42 % CAGR and $13.8 B NPV; humidity sensors – $7.3 B/year,"
cagr,15,,"and $13.8 B NPV; humidity sensors – $7.3 B/year, 15 % CAGR, $3.25 B NPV; IR camera sensors – $8.8 B/year, 15"
cagr,15,,"GR, $3.25 B NPV; IR camera sensors – $8.8 B/year, 15 % CAGR, $3.9 B NPV; GPS/GNSS/IMU navigation sensors – $1"
cagr,8.3,,"PV; GPS/GNSS/IMU navigation sensors – $16 B/year, 8.3 % CAGR, $3.3 B NPV. The high growth rates of LIDAR, IR a"
cagr,11.8,,"emperature, voltage, power): $21.4 B/year market; 11.8 % CAGR; $6.6 B NPV. Fault‑detection sensors: $22 B/year,"
cagr,8,,"$6.6 B NPV. Fault‑detection sensors: $22 B/year, 8 % CAGR, $4.4 B NPV. Grid asset‑monitoring sensors: $3.6"
cagr,19,,"NPV. Grid asset‑monitoring sensors: $3.6 B/year, 19 % CAGR, $2.6 B NPV. Solar‑cell optimisation: The largest"
cagr,17,,sation: The largest single market—$95 B/year with 17 % CAGR and $54 B NPV—reflecting global demand for improv
cagr,9,,in retrieval time; the market is $25 B/year with 9 % CAGR and $5.6 B NPV. Small modular nuclear reactors (S
cagr,8,,"dular nuclear reactors (SMRs): $10 B/year market, 8 % CAGR, $2 B NPV. Utility‑scale solar and wind turbine m"
cagr,14.3,,"e solar and wind turbine monitoring: $8.7 B/year, 14.3 % CAGR, $3.6 B NPV. Facilities energy management: Lighti"
cagr,11.6,,"nagement: Lighting‑controls sensors ($3.7 B/year, 11.6 % CAGR) and HVAC‑control sensors ($4.2 B/year, 6 % CAGR)"
cagr,6,,".6 % CAGR) and HVAC‑control sensors ($4.2 B/year, 6 % CAGR). 4.4 Critical Manufacturing & Mining Strategic m"
cagr,8.7,,vey lines. Addressable market is $1.5 B/year with 8.7 % CAGR and $742 M NPV. Factory automation/SCADA optimisa
cagr,6,,tion/SCADA optimisation: $25.5 B/year market with 6 % CAGR; $4.1 B NPV. Quality‑control sensors: $10.5 B/yea
cagr,6,,"4.1 B NPV. Quality‑control sensors: $10.5 B/year, 6 % CAGR, $1.7 B NPV. 4.5 Water & Wastewater Hydrology/wat"
cagr,6,,"r Hydrology/water deposit detection: $1.2 B/year, 6 % CAGR. Desalination materials: The paper describes a la"
cagr,6,,"s). The desalination market is $20.6 B/year with ~6 % CAGR, NPV $3.3 B. Real‑time water‑quality sensors: pH"
cagr,6.3,,"e water‑quality sensors: pH sensors ($1.5 B/year, 6.3 % CAGR), chlorine sensors ($1.1 B/year, 8 % CAGR), turbi"
cagr,8,,"year, 6.3 % CAGR), chlorine sensors ($1.1 B/year, 8 % CAGR), turbidity sensors ($1.4 B/year, 7.2 % CAGR) and"
cagr,7.2,,"/year, 8 % CAGR), turbidity sensors ($1.4 B/year, 7.2 % CAGR) and dissolved‑oxygen sensors ($1.4 B/year, 7 % C"
cagr,7,,"CAGR) and dissolved‑oxygen sensors ($1.4 B/year, 7 % CAGR). Predictive maintenance sensors: Vibration senso"
cagr,6,,"ntenance sensors: Vibration sensors ($560 M/year, 6 % CAGR) and acoustic sensors ($1.5 B/year, 6.4 % CAGR);"
cagr,6.4,,"ear, 6 % CAGR) and acoustic sensors ($1.5 B/year, 6.4 % CAGR); pressure sensors ($2.5 B/year, 6.3 % CAGR). 4.6"
cagr,6.3,,"year, 6.4 % CAGR); pressure sensors ($2.5 B/year, 6.3 % CAGR). 4.6 Health‑care & Biosecurity Pico‑sensor ELISA"
cagr,6,,or ELISA‑qPCR biosensors: $2.1 B/year market with 6 % CAGR; $773 M NPV. Real‑time vital‑sign sensors (heart
cagr,15,,"re, oxygen saturation, temperature): $9.2 B/year, 15 % CAGR; $4.1 B NPV. The paper suggests additional opport"
